Query Id,Query,Query Category,System Output,Remarks
Q531,Was the package delivered successfully?,Delivery Investigation,,
Q532,Why was this delivery escalated?,Delivery Investigation,,
Q533,What issue did the customer report?,Delivery Investigation,,
Q534,Was the package delivered successfully?,Delivery Investigation,,
Q535,Why was this delivery escalated?,Delivery Investigation,,
Q536,What issue did the customer report?,Delivery Investigation,,
Q537,Was the package delivered successfully?,Delivery Investigation,,
Q538,Why was this delivery escalated?,Delivery Investigation,,
Q539,What issue did the customer report?,Delivery Investigation,,
Q540,Was the package delivered successfully?,Delivery Investigation,,
Q541,Why was this delivery escalated?,Delivery Investigation,,
Q542,What issue did the customer report?,Delivery Investigation,,
Q543,Was the package delivered successfully?,Delivery Investigation,,
Q544,Why was this delivery escalated?,Delivery Investigation,,
Q545,What issue did the customer report?,Delivery Investigation,,
Q546,Was the package delivered successfully?,Delivery Investigation,,
Q547,Why was this delivery escalated?,Delivery Investigation,,
Q548,What issue did the customer report?,Delivery Investigation,,
Q549,Was the package delivered successfully?,Delivery Investigation,,
Q550,Why was this delivery escalated?,Delivery Investigation,,
Q551,What issue did the customer report?,Delivery Investigation,,
Q552,Was the package delivered successfully?,Delivery Investigation,,
Q553,Why was this delivery escalated?,Delivery Investigation,,
Q554,What issue did the customer report?,Delivery Investigation,,
Q555,Was the package delivered successfully?,Delivery Investigation,,
Q556,Why was this delivery escalated?,Delivery Investigation,,
Q557,What issue did the customer report?,Delivery Investigation,,
Q558,Was the package delivered successfully?,Delivery Investigation,,
Q559,Why was this delivery escalated?,Delivery Investigation,,
Q560,What issue did the customer report?,Delivery Investigation,,
Q561,Was the package delivered successfully?,Delivery Investigation,,
Q562,Why was this delivery escalated?,Delivery Investigation,,
Q563,What issue did the customer report?,Delivery Investigation,,
Q564,Was the package delivered successfully?,Delivery Investigation,,
Q565,Why was this delivery escalated?,Delivery Investigation,,
Q566,What issue did the customer report?,Delivery Investigation,,
Q567,Was the package delivered successfully?,Delivery Investigation,,
Q568,Why was this delivery escalated?,Delivery Investigation,,
Q569,What issue did the customer report?,Delivery Investigation,,
Q570,Was the package delivered successfully?,Delivery Investigation,,
Q571,Why was this delivery escalated?,Delivery Investigation,,
Q572,What issue did the customer report?,Delivery Investigation,,
Q573,Was the package delivered successfully?,Delivery Investigation,,
Q574,Why was this delivery escalated?,Delivery Investigation,,
Q575,What issue did the customer report?,Delivery Investigation,,
Q576,Was the package delivered successfully?,Delivery Investigation,,
Q577,Why was this delivery escalated?,Delivery Investigation,,
Q578,What issue did the customer report?,Delivery Investigation,,
Q579,Was the package delivered successfully?,Delivery Investigation,,
Q580,Why was this delivery escalated?,Delivery Investigation,,
Q581,What issue did the customer report?,Delivery Investigation,,
Q582,Was the package delivered successfully?,Delivery Investigation,,
Q583,Why was this delivery escalated?,Delivery Investigation,,
Q584,What issue did the customer report?,Delivery Investigation,,
Q585,Was the package delivered successfully?,Delivery Investigation,,
Q586,Why was this delivery escalated?,Delivery Investigation,,
Q587,What issue did the customer report?,Delivery Investigation,,
Q588,Was the package delivered successfully?,Delivery Investigation,,
Q589,Why was this delivery escalated?,Delivery Investigation,,
Q590,What issue did the customer report?,Delivery Investigation,,
Q591,Was the package delivered successfully?,Delivery Investigation,,
Q592,Why was this delivery escalated?,Delivery Investigation,,
Q593,What issue did the customer report?,Delivery Investigation,,
Q594,Was the package delivered successfully?,Delivery Investigation,,
Q595,Why was this delivery escalated?,Delivery Investigation,,
Q596,What issue did the customer report?,Delivery Investigation,,
Q597,Was the package delivered successfully?,Delivery Investigation,,
Q598,Why was this delivery escalated?,Delivery Investigation,,
Q599,What issue did the customer report?,Delivery Investigation,,
Q600,Was the package delivered successfully?,Delivery Investigation,,
Q601,Why was this delivery escalated?,Delivery Investigation,,
Q602,What issue did the customer report?,Delivery Investigation,,
Q603,Was the package delivered successfully?,Delivery Investigation,,
Q604,Why was this delivery escalated?,Delivery Investigation,,
Q605,What issue did the customer report?,Delivery Investigation,,
Q606,Was the package delivered successfully?,Delivery Investigation,,
Q607,Why was this delivery escalated?,Delivery Investigation,,
Q608,What issue did the customer report?,Delivery Investigation,,
Q609,Was the package delivered successfully?,Delivery Investigation,,
Q610,Why was this delivery escalated?,Delivery Investigation,,
Q611,What issue did the customer report?,Delivery Investigation,,
Q612,Was the package delivered successfully?,Delivery Investigation,,
Q613,Why was this delivery escalated?,Delivery Investigation,,
Q614,What issue did the customer report?,Delivery Investigation,,
Q615,Was the package delivered successfully?,Delivery Investigation,,
Q616,Why was this delivery escalated?,Delivery Investigation,,
Q617,What issue did the customer report?,Delivery Investigation,,
Q618,Was the package delivered successfully?,Delivery Investigation,,
Q619,Why was this delivery escalated?,Delivery Investigation,,
Q620,What issue did the customer report?,Delivery Investigation,,
Q621,Was the package delivered successfully?,Delivery Investigation,,
Q622,Why was this delivery escalated?,Delivery Investigation,,
Q623,What issue did the customer report?,Delivery Investigation,,
Q624,Was the package delivered successfully?,Delivery Investigation,,
Q625,Why was this delivery escalated?,Delivery Investigation,,
Q626,What issue did the customer report?,Delivery Investigation,,
Q627,Was the package delivered successfully?,Delivery Investigation,,
Q628,Why was this delivery escalated?,Delivery Investigation,,
Q629,What issue did the customer report?,Delivery Investigation,,
Q630,Was the package delivered successfully?,Delivery Investigation,,
Q631,Why was this delivery escalated?,Delivery Investigation,,
Q632,What issue did the customer report?,Delivery Investigation,,
Q633,Was the package delivered successfully?,Delivery Investigation,,
Q634,Why was this delivery escalated?,Delivery Investigation,,
Q635,What issue did the customer report?,Delivery Investigation,,
Q636,Was the package delivered successfully?,Delivery Investigation,,
Q637,Why was this delivery escalated?,Delivery Investigation,,
Q638,What issue did the customer report?,Delivery Investigation,,
Q639,Was the package delivered successfully?,Delivery Investigation,,
Q640,Why was this delivery escalated?,Delivery Investigation,,
Q641,What issue did the customer report?,Delivery Investigation,,
Q642,Was the package delivered successfully?,Delivery Investigation,,
Q643,Why was this delivery escalated?,Delivery Investigation,,
Q644,What issue did the customer report?,Delivery Investigation,,
Q645,Was the package delivered successfully?,Delivery Investigation,,
Q646,Why was this delivery escalated?,Delivery Investigation,,
Q647,What issue did the customer report?,Delivery Investigation,,
Q648,Was the package delivered successfully?,Delivery Investigation,,
Q649,Why was this delivery escalated?,Delivery Investigation,,
Q650,What issue did the customer report?,Delivery Investigation,,
Q651,Was the package delivered successfully?,Delivery Investigation,,
Q652,Why was this delivery escalated?,Delivery Investigation,,
Q653,What issue did the customer report?,Delivery Investigation,,
Q654,Was the package delivered successfully?,Delivery Investigation,,
Q655,Why was this delivery escalated?,Delivery Investigation,,
Q656,What issue did the customer report?,Delivery Investigation,,
Q657,Was the package delivered successfully?,Delivery Investigation,,
Q658,Why was this delivery escalated?,Delivery Investigation,,
Q659,What issue did the customer report?,Delivery Investigation,,
Q660,Was the package delivered successfully?,Delivery Investigation,,
Q661,Why was this delivery escalated?,Delivery Investigation,,
Q662,What issue did the customer report?,Delivery Investigation,,
Q663,Was the package delivered successfully?,Delivery Investigation,,
Q664,Why was this delivery escalated?,Delivery Investigation,,
Q665,What issue did the customer report?,Delivery Investigation,,
Q666,Was the package delivered successfully?,Delivery Investigation,,
Q667,Why was this delivery escalated?,Delivery Investigation,,
Q668,What issue did the customer report?,Delivery Investigation,,
Q669,Was the package delivered successfully?,Delivery Investigation,,
Q670,Why was this delivery escalated?,Delivery Investigation,,
Q671,What issue did the customer report?,Delivery Investigation,,
Q672,Was the package delivered successfully?,Delivery Investigation,,
Q673,Why was this delivery escalated?,Delivery Investigation,,
Q674,What issue did the customer report?,Delivery Investigation,,
Q675,Was the package delivered successfully?,Delivery Investigation,,
Q676,Why was this delivery escalated?,Delivery Investigation,,
Q677,What issue did the customer report?,Delivery Investigation,,
Q678,Was the package delivered successfully?,Delivery Investigation,,
Q679,Why was this delivery escalated?,Delivery Investigation,,
Q680,What issue did the customer report?,Delivery Investigation,,
Q681,Was the package delivered successfully?,Delivery Investigation,,
Q682,Why was this delivery escalated?,Delivery Investigation,,
Q683,What issue did the customer report?,Delivery Investigation,,
Q684,Was the package delivered successfully?,Delivery Investigation,,
Q685,Why was this delivery escalated?,Delivery Investigation,,
Q686,What issue did the customer report?,Delivery Investigation,,
Q687,Was the package delivered successfully?,Delivery Investigation,,
Q688,Why was this delivery escalated?,Delivery Investigation,,
Q689,What issue did the customer report?,Delivery Investigation,,
Q690,Was the package delivered successfully?,Delivery Investigation,,
Q691,Why was this delivery escalated?,Delivery Investigation,,
Q692,What issue did the customer report?,Delivery Investigation,,
Q693,Was the package delivered successfully?,Delivery Investigation,,
Q694,Why was this delivery escalated?,Delivery Investigation,,
Q695,What issue did the customer report?,Delivery Investigation,,
Q696,Was the package delivered successfully?,Delivery Investigation,,
Q697,Why was this delivery escalated?,Delivery Investigation,,
Q698,What issue did the customer report?,Delivery Investigation,,
Q699,Was the package delivered successfully?,Delivery Investigation,,
Q700,Why was this delivery escalated?,Delivery Investigation,,
Q701,What issue did the customer report?,Delivery Investigation,,
Q702,Was the package delivered successfully?,Delivery Investigation,,
Q703,Why was this delivery escalated?,Delivery Investigation,,
Q704,What issue did the customer report?,Delivery Investigation,,
Q705,Was the package delivered successfully?,Delivery Investigation,,
Q706,Why was this delivery escalated?,Delivery Investigation,,
Q707,What issue did the customer report?,Delivery Investigation,,
Q708,Was the package delivered successfully?,Delivery Investigation,,
Q709,Why was this delivery escalated?,Delivery Investigation,,
Q710,What issue did the customer report?,Delivery Investigation,,
Q711,Was the package delivered successfully?,Delivery Investigation,,
Q712,Why was this delivery escalated?,Delivery Investigation,,
Q713,What issue did the customer report?,Delivery Investigation,,
Q714,Was the package delivered successfully?,Delivery Investigation,,
Q715,Why was this delivery escalated?,Delivery Investigation,,
Q716,What issue did the customer report?,Delivery Investigation,,
Q717,Was the package delivered successfully?,Delivery Investigation,,
Q718,Why was this delivery escalated?,Delivery Investigation,,
Q719,What issue did the customer report?,Delivery Investigation,,
Q720,Was the package delivered successfully?,Delivery Investigation,,
Q721,Why was this delivery escalated?,Delivery Investigation,,
Q722,What issue did the customer report?,Delivery Investigation,,
Q723,Was the package delivered successfully?,Delivery Investigation,,
Q724,Why was this delivery escalated?,Delivery Investigation,,
Q725,What issue did the customer report?,Delivery Investigation,,
Q726,Was the package delivered successfully?,Delivery Investigation,,
Q727,Why was this delivery escalated?,Delivery Investigation,,
Q728,What issue did the customer report?,Delivery Investigation,,
Q729,Was the package delivered successfully?,Delivery Investigation,,
Q730,Why was this delivery escalated?,Delivery Investigation,,
Q731,What issue did the customer report?,Delivery Investigation,,
Q732,Was the package delivered successfully?,Delivery Investigation,,
Q733,Why was this delivery escalated?,Delivery Investigation,,
Q734,What issue did the customer report?,Delivery Investigation,,
Q735,Was the package delivered successfully?,Delivery Investigation,,
Q736,Why was this delivery escalated?,Delivery Investigation,,
Q737,What issue did the customer report?,Delivery Investigation,,
Q738,Was the package delivered successfully?,Delivery Investigation,,
Q739,Why was this delivery escalated?,Delivery Investigation,,
Q740,What issue did the customer report?,Delivery Investigation,,
Q741,Was the package delivered successfully?,Delivery Investigation,,
Q742,Why was this delivery escalated?,Delivery Investigation,,
Q743,What issue did the customer report?,Delivery Investigation,,
Q744,Was the package delivered successfully?,Delivery Investigation,,
Q745,Why was this delivery escalated?,Delivery Investigation,,
Q746,What issue did the customer report?,Delivery Investigation,,
Q747,Was the package delivered successfully?,Delivery Investigation,,
Q748,Why was this delivery escalated?,Delivery Investigation,,
Q749,What issue did the customer report?,Delivery Investigation,,
Q750,Was the package delivered successfully?,Delivery Investigation,,
Q751,Why was this delivery escalated?,Delivery Investigation,,
Q752,What issue did the customer report?,Delivery Investigation,,
Q753,Was the package delivered successfully?,Delivery Investigation,,
Q754,Why was this delivery escalated?,Delivery Investigation,,
Q755,What issue did the customer report?,Delivery Investigation,,
Q756,Was the package delivered successfully?,Delivery Investigation,,
Q757,Why was this delivery escalated?,Delivery Investigation,,
Q758,What issue did the customer report?,Delivery Investigation,,
Q759,Was the package delivered successfully?,Delivery Investigation,,
Q760,Why was this delivery escalated?,Delivery Investigation,,
Q761,What issue did the customer report?,Delivery Investigation,,
Q762,Was the package delivered successfully?,Delivery Investigation,,
Q763,Why was this delivery escalated?,Delivery Investigation,,
Q764,What issue did the customer report?,Delivery Investigation,,
Q765,Was the package delivered successfully?,Delivery Investigation,,
Q766,Why was this delivery escalated?,Delivery Investigation,,
Q767,What issue did the customer report?,Delivery Investigation,,
Q768,Was the package delivered successfully?,Delivery Investigation,,
Q769,Why was this delivery escalated?,Delivery Investigation,,
Q770,What issue did the customer report?,Delivery Investigation,,
Q771,Was the package delivered successfully?,Delivery Investigation,,
Q772,Why was this delivery escalated?,Delivery Investigation,,
Q773,What issue did the customer report?,Delivery Investigation,,
Q774,Was the package delivered successfully?,Delivery Investigation,,
Q775,Why was this delivery escalated?,Delivery Investigation,,
Q776,What issue did the customer report?,Delivery Investigation,,
Q777,Was the package delivered successfully?,Delivery Investigation,,
Q778,Why was this delivery escalated?,Delivery Investigation,,
Q779,What issue did the customer report?,Delivery Investigation,,
Q780,Was the package delivered successfully?,Delivery Investigation,,
Q781,Why was this delivery escalated?,Delivery Investigation,,
Q782,What issue did the customer report?,Delivery Investigation,,
Q783,Was the package delivered successfully?,Delivery Investigation,,
Q784,Why was this delivery escalated?,Delivery Investigation,,
Q785,What issue did the customer report?,Delivery Investigation,,
Q786,Was the package delivered successfully?,Delivery Investigation,,
Q787,Why was this delivery escalated?,Delivery Investigation,,
Q788,What issue did the customer report?,Delivery Investigation,,
Q789,Was the package delivered successfully?,Delivery Investigation,,
Q790,Why was this delivery escalated?,Delivery Investigation,,
Q791,What issue did the customer report?,Delivery Investigation,,
Q792,Was the package delivered successfully?,Delivery Investigation,,
Q793,Why was this delivery escalated?,Delivery Investigation,,
Q794,What issue did the customer report?,Delivery Investigation,,
Q795,Was the package delivered successfully?,Delivery Investigation,,
Q796,Why was this delivery escalated?,Delivery Investigation,,
Q797,What issue did the customer report?,Delivery Investigation,,
Q798,Was the package delivered successfully?,Delivery Investigation,,
Q799,Why was this delivery escalated?,Delivery Investigation,,
Q800,What issue did the customer report?,Delivery Investigation,,
Q801,Was the package delivered successfully?,Delivery Investigation,,
Q802,Why was this delivery escalated?,Delivery Investigation,,
Q803,What issue did the customer report?,Delivery Investigation,,
Q804,Was the package delivered successfully?,Delivery Investigation,,
Q805,Why was this delivery escalated?,Delivery Investigation,,
Q806,What issue did the customer report?,Delivery Investigation,,
Q807,Was the package delivered successfully?,Delivery Investigation,,
Q808,Why was this delivery escalated?,Delivery Investigation,,
Q809,What issue did the customer report?,Delivery Investigation,,
Q810,Was the package delivered successfully?,Delivery Investigation,,
Q811,Why was this delivery escalated?,Delivery Investigation,,
Q812,What issue did the customer report?,Delivery Investigation,,
Q813,Was the package delivered successfully?,Delivery Investigation,,
Q814,Why was this delivery escalated?,Delivery Investigation,,
Q815,What issue did the customer report?,Delivery Investigation,,
Q816,Was the package delivered successfully?,Delivery Investigation,,
Q817,Why was this delivery escalated?,Delivery Investigation,,
Q818,What issue did the customer report?,Delivery Investigation,,
Q819,Was the package delivered successfully?,Delivery Investigation,,
Q820,Why was this delivery escalated?,Delivery Investigation,,
Q821,What issue did the customer report?,Delivery Investigation,,
Q822,Was the package delivered successfully?,Delivery Investigation,,
Q823,Why was this delivery escalated?,Delivery Investigation,,
Q824,What issue did the customer report?,Delivery Investigation,,
Q825,Was the package delivered successfully?,Delivery Investigation,,
Q826,Why was this delivery escalated?,Delivery Investigation,,
Q827,What issue did the customer report?,Delivery Investigation,,
Q828,Was the package delivered successfully?,Delivery Investigation,,
Q829,Why was this delivery escalated?,Delivery Investigation,,
Q830,What issue did the customer report?,Delivery Investigation,,
Q831,Was the package delivered successfully?,Delivery Investigation,,
Q832,Why was this delivery escalated?,Delivery Investigation,,
Q833,What issue did the customer report?,Delivery Investigation,,
Q834,Was the package delivered successfully?,Delivery Investigation,,
Q835,Why was this delivery escalated?,Delivery Investigation,,
Q836,What issue did the customer report?,Delivery Investigation,,
Q837,Was the package delivered successfully?,Delivery Investigation,,
Q838,Why was this delivery escalated?,Delivery Investigation,,
Q839,What issue did the customer report?,Delivery Investigation,,
Q840,Was the package delivered successfully?,Delivery Investigation,,
Q841,Why was this delivery escalated?,Delivery Investigation,,
Q842,What issue did the customer report?,Delivery Investigation,,
Q843,Was the package delivered successfully?,Delivery Investigation,,
Q844,Why was this delivery escalated?,Delivery Investigation,,
Q845,What issue did the customer report?,Delivery Investigation,,
Q846,Was the package delivered successfully?,Delivery Investigation,,
Q847,Why was this delivery escalated?,Delivery Investigation,,
Q848,What issue did the customer report?,Delivery Investigation,,
Q849,Was the package delivered successfully?,Delivery Investigation,,
Q850,Why was this delivery escalated?,Delivery Investigation,,
Q851,What issue did the customer report?,Delivery Investigation,,
Q852,Was the package delivered successfully?,Delivery Investigation,,
Q853,Why was this delivery escalated?,Delivery Investigation,,
Q854,What issue did the customer report?,Delivery Investigation,,
Q855,Was the package delivered successfully?,Delivery Investigation,,
Q856,Why was this delivery escalated?,Delivery Investigation,,
Q857,What issue did the customer report?,Delivery Investigation,,
Q858,Was the package delivered successfully?,Delivery Investigation,,
Q859,Why was this delivery escalated?,Delivery Investigation,,
Q860,What issue did the customer report?,Delivery Investigation,,
Q861,Was the package delivered successfully?,Delivery Investigation,,
Q862,Why was this delivery escalated?,Delivery Investigation,,
Q863,What issue did the customer report?,Delivery Investigation,,
Q864,Was the package delivered successfully?,Delivery Investigation,,
Q865,Why was this delivery escalated?,Delivery Investigation,,
Q866,What issue did the customer report?,Delivery Investigation,,
Q867,Was the package delivered successfully?,Delivery Investigation,,
Q868,Why was this delivery escalated?,Delivery Investigation,,
Q869,What issue did the customer report?,Delivery Investigation,,
Q870,Was the package delivered successfully?,Delivery Investigation,,
Q871,Why was this delivery escalated?,Delivery Investigation,,
Q872,What issue did the customer report?,Delivery Investigation,,
Q873,Was the package delivered successfully?,Delivery Investigation,,
Q874,Why was this delivery escalated?,Delivery Investigation,,
Q875,What issue did the customer report?,Delivery Investigation,,
Q876,Was the package delivered successfully?,Delivery Investigation,,
Q877,Why was this delivery escalated?,Delivery Investigation,,
Q878,What issue did the customer report?,Delivery Investigation,,
Q879,Was the package delivered successfully?,Delivery Investigation,,
Q880,Why was this delivery escalated?,Delivery Investigation,,
Q881,What issue did the customer report?,Delivery Investigation,,
Q882,Was the package delivered successfully?,Delivery Investigation,,
Q883,Why was this delivery escalated?,Delivery Investigation,,
Q884,What issue did the customer report?,Delivery Investigation,,
Q885,Was the package delivered successfully?,Delivery Investigation,,
Q886,Why was this delivery escalated?,Delivery Investigation,,
Q887,What issue did the customer report?,Delivery Investigation,,
Q888,Was the package delivered successfully?,Delivery Investigation,,
Q889,Why was this delivery escalated?,Delivery Investigation,,
Q890,What issue did the customer report?,Delivery Investigation,,
Q891,Was the package delivered successfully?,Delivery Investigation,,
Q892,Why was this delivery escalated?,Delivery Investigation,,
Q893,What issue did the customer report?,Delivery Investigation,,
Q894,Was the package delivered successfully?,Delivery Investigation,,
Q895,Why was this delivery escalated?,Delivery Investigation,,
Q896,What issue did the customer report?,Delivery Investigation,,
Q897,Was the package delivered successfully?,Delivery Investigation,,
Q898,Why was this delivery escalated?,Delivery Investigation,,
Q899,What issue did the customer report?,Delivery Investigation,,
Q900,Was the package delivered successfully?,Delivery Investigation,,
Q901,Why was this delivery escalated?,Delivery Investigation,,
Q902,What issue did the customer report?,Delivery Investigation,,
Q903,Was the package delivered successfully?,Delivery Investigation,,
Q904,Why was this delivery escalated?,Delivery Investigation,,
Q905,What issue did the customer report?,Delivery Investigation,,
Q906,Was the package delivered successfully?,Delivery Investigation,,
Q907,Why was this delivery escalated?,Delivery Investigation,,
Q908,What issue did the customer report?,Delivery Investigation,,
Q909,Was the package delivered successfully?,Delivery Investigation,,
Q910,Why was this delivery escalated?,Delivery Investigation,,
Q911,What issue did the customer report?,Delivery Investigation,,
Q912,Was the package delivered successfully?,Delivery Investigation,,
Q913,Why was this delivery escalated?,Delivery Investigation,,
Q914,What issue did the customer report?,Delivery Investigation,,
Q915,Was the package delivered successfully?,Delivery Investigation,,
Q916,Why was this delivery escalated?,Delivery Investigation,,
Q917,What issue did the customer report?,Delivery Investigation,,
Q918,Was the package delivered successfully?,Delivery Investigation,,
Q919,Why was this delivery escalated?,Delivery Investigation,,
Q920,What issue did the customer report?,Delivery Investigation,,
Q921,Was the package delivered successfully?,Delivery Investigation,,
Q922,Why was this delivery escalated?,Delivery Investigation,,
Q923,What issue did the customer report?,Delivery Investigation,,
Q924,Was the package delivered successfully?,Delivery Investigation,,
Q925,Why was this delivery escalated?,Delivery Investigation,,
Q926,What issue did the customer report?,Delivery Investigation,,
Q927,Was the package delivered successfully?,Delivery Investigation,,
Q928,Why was this delivery escalated?,Delivery Investigation,,
Q929,What issue did the customer report?,Delivery Investigation,,
Q930,Was the package delivered successfully?,Delivery Investigation,,
Q931,Why was this delivery escalated?,Delivery Investigation,,
Q932,What issue did the customer report?,Delivery Investigation,,
Q933,Was the package delivered successfully?,Delivery Investigation,,
Q934,Why was this delivery escalated?,Delivery Investigation,,
Q935,What issue did the customer report?,Delivery Investigation,,
Q936,Was the package delivered successfully?,Delivery Investigation,,
Q937,Why was this delivery escalated?,Delivery Investigation,,
Q938,What issue did the customer report?,Delivery Investigation,,
Q939,Was the package delivered successfully?,Delivery Investigation,,
Q940,Why was this delivery escalated?,Delivery Investigation,,
Q941,What issue did the customer report?,Delivery Investigation,,
Q942,Was the package delivered successfully?,Delivery Investigation,,
Q943,Why was this delivery escalated?,Delivery Investigation,,
Q944,What issue did the customer report?,Delivery Investigation,,
Q945,Was the package delivered successfully?,Delivery Investigation,,
Q946,Why was this delivery escalated?,Delivery Investigation,,
Q947,What issue did the customer report?,Delivery Investigation,,
Q948,Was the package delivered successfully?,Delivery Investigation,,
Q949,Why was this delivery escalated?,Delivery Investigation,,
Q950,What issue did the customer report?,Delivery Investigation,,
Q951,Was the package delivered successfully?,Delivery Investigation,,
Q952,Why was this delivery escalated?,Delivery Investigation,,
Q953,What issue did the customer report?,Delivery Investigation,,
Q954,Was the package delivered successfully?,Delivery Investigation,,
Q955,Why was this delivery escalated?,Delivery Investigation,,
Q956,What issue did the customer report?,Delivery Investigation,,
Q957,Was the package delivered successfully?,Delivery Investigation,,
